"Année","Périmètre juridique","Legal perimeter","Périmètre spatial","Spatial perimeter","Emissions CO2","Unité","Méthode de consolidation","Consolidation method"
2021,"Groupe EDF","EDF group","France","France",13957.6911374752,"ktonnes","Nette","Net"
2021,"Groupe EDF","EDF group","Espagne","Spain",15.3229691979541,"ktonnes","Nette","Net"
2021,"Groupe EDF","EDF group","République populaire de Chine","People's Republic of China",7438.23192,"ktonnes","Nette","Net"
2021,"Groupe EDF","EDF group","Brésil","Brazil",2770.08019372694,"ktonnes","Nette","Net"
2021,"Groupe EDF","EDF group","Belgique","Belgium",714.5584025,"ktonnes","Nette","Net"
2021,"Groupe EDF","EDF group","Allemagne","Germany",2.018115,"ktonnes","Nette","Net"
2021,"Groupe EDF","EDF group","Monde","World",26601.1941310836,"ktonnes","Intégration Globale","Full integration"
2022,"Groupe EDF","EDF group","Chili","Chile",331.295,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Pays-Bas","Netherlands",552.17,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Viêt Nam","Vietnam",964.68525,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","États-Unis","United States of America",2.40845,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Royaume-Uni","United Kingdom",139.85941,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Pologne","Poland",369.6766564788,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Italie","Italy",6504.78380919902,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Grèce","Greece",589.17402048255,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","France","France",12749.3925321062,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Espagne","Spain",9.980010039,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","République populaire de Chine","People's Republic of China",6526.45,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Brésil","Brazil",584.220986529984,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Belgique","Belgium",701.7589075,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Allemagne","Germany",1.2382,"ktonnes","Nette","Net"
2022,"Groupe EDF","EDF group","Monde","World",23077.9030538137,"ktonnes","Intégration Globale","Full integration"
2023,"Groupe EDF","EDF group","Chili","Chile",446.56,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Pays-Bas","Netherlands",40.655,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Viêt Nam","Vietnam",939.035712438658,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","États-Unis","United States of America",2.56549,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Royaume-Uni","United Kingdom",4.171,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Pologne","Poland",309.7196000478,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Italie","Italy",5910.773364,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Grèce","Greece",420.3698616468,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","France","France",9373.86692545005,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Espagne","Spain",48.429528,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","République populaire de Chine","People's Republic of China",5685.048,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Brésil","Brazil",192.4,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Belgique","Belgium",445.0058419,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Allemagne","Germany",1.88568045,"ktonnes","Nette","Net"
2023,"Groupe EDF","EDF group","Monde","World",18248.6073252705,"ktonnes","Intégration Globale","Full integration"
